var_camels,longname_camels,units_camels,scale_camels,offset_camels,var_CMIP6,units_CMIP6,Calculation,ratio,pre_adjust_scale,pre_adjust_offset,bias_correct_target,final_var,min_theo,max_theo
precipitation.mm.d.,Observed dialy summed precipitiation,mm,10,0,pr,kg m-2 s-1,1,T,86400,0,T,T,0,3276.7
temperature_mean.degC.,Observed daily averaged temperature,°C,100,0,tas,K,1,F,1,-273.15,T,T,-100,100
temperature_min.degC.diff,Observed daily minimum minus averaged temperature,°C,100,0,tasminD,K,1,F,1,0,T,F,-100,0
temperature_max.degC.diff,Observed daily maximum  minus averaged temperature,°C,100,0,tasmaxD,K,1,F,1,0,T,F,0,100
precipitation_sim.mm.d.,Simulated daily averaged precipitation,mm,10,0,pr,kg m-2 s-1,1,T,86400,0,T,T,0,3276.7
temperature_sim.degC.,Simulated daily averaged temperature,°C,100,0,tas,K,1,F,1,-273.15,T,T,-100,100
radiation_sim.W.m2.,Simulated daily averaged global radiation,W m-2,10,0,rsds,W m-2,1,T,1,0,T,T,0,1400
wind_sim.m.s.,Simulated daily averaged wind speed,m s-1,100,0,sfcWind,m s-1,1,T,1,0,T,T,0,Inf
rel_humidity_sim...,Simulated daily averaged relative humidity,[],10000,0,hurs,%,1,F,0.01,0,T,T,0,1
pet_sim.mm.d.,Simulated daily averaged potential evapotranspiration (Penman–Monteith equation without interception correction),mm,10,0,petfao56,mm,penman-monteith,T,1,0,T,T,0,Inf
temperature_min.degC.,Observed daily minimum temperature,°C,100,0,tasmin,K,1,F,1,-273.15,F,T,-100,temperature_mean.degC.
temperature_max.degC.,Observed daily maximum temperature,°C,100,0,tasmax,K,1,F,1,-273.15,F,T,temperature_mean.degC.,100
